Dataset,Model,Lambda,Fold,Accuracy,Latency,Depth,FitTime,SOPs
Heart,NSF,0.5,3,0.7222222222222222,24.74872583342187,7.0,0.1671030521392822,
Heart,CART,0.0,4,0.6481481481481481,0.0,10.0,0.0,
Heart,RF,0.0,4,0.7777777777777778,0.0,10.0,0.0,
Heart,NST,0.0,4,0.7592592592592593,36.87919998168945,8.0,0.0417022705078125,
Heart,NSF,0.0,4,0.7222222222222222,33.903952362507944,6.2,0.1501798629760742,
Heart,NST,0.1,4,0.7037037037037037,28.07193959200824,7.0,0.0427229404449462,
Heart,NSF,0.1,4,0.7592592592592593,30.70086048532415,7.0,0.1561403274536132,
Heart,NST,0.25,4,0.6851851851851852,26.434833932805944,7.0,0.0373928546905517,
Heart,NSF,0.25,4,0.8333333333333334,23.38648409166454,6.6,0.158433198928833,
Heart,NST,0.5,4,0.6666666666666666,24.341615676879883,7.0,0.0523972511291503,
Heart,NSF,0.5,4,0.6851851851851852,20.40821867989905,7.8,0.1913602352142334,
Heart,CART,0.0,5,0.6851851851851852,0.0,8.0,0.0,
Heart,RF,0.0,5,0.7222222222222222,0.0,10.0,0.0,
Heart,NST,0.0,5,0.6851851851851852,33.77147307219329,7.0,0.0368182659149169,
Heart,NSF,0.0,5,0.7037037037037037,36.325478244122166,5.6,0.138627290725708,
Heart,NST,0.1,5,0.6296296296296297,31.45459895663792,5.0,0.0353560447692871,
Heart,NSF,0.1,5,0.6111111111111112,26.053683906720007,5.8,0.1431972980499267,
Heart,NST,0.25,5,0.6481481481481481,24.46482087947704,5.0,0.0392172336578369,
Heart,NSF,0.25,5,0.7037037037037037,23.28972156518771,6.2,0.1653468608856201,
Heart,NST,0.5,5,0.6111111111111112,23.19700813293457,7.0,0.046295166015625,
Heart,NSF,0.5,5,0.6666666666666666,20.859095906916963,7.0,0.1793253421783447,
HAR,CART,0.0,1,0.9451456310679612,0.0,10.0,0.0,
HAR,RF,0.0,1,0.9728155339805824,0.0,10.0,0.0,
HAR,NST,0.0,1,0.9131067961165048,41.17597198486328,10.0,50.51595377922058,
HAR,NSF,0.0,1,0.9427184466019416,41.2887258043104,10.0,234.0727157592773,
HAR,NST,0.1,1,0.8679611650485437,29.837610244750977,10.0,54.66110038757324,
HAR,NSF,0.1,1,0.9213592233009708,29.90982086884552,10.0,249.2569804191589,
HAR,NST,0.25,1,0.8694174757281553,28.52359962463379,10.0,59.598711013793945,
HAR,NSF,0.25,1,0.9121359223300972,27.417018241519685,10.0,266.59727692604065,
HAR,NST,0.5,1,0.8985436893203883,24.08087730407715,10.0,62.52794790267944,
HAR,NSF,0.5,1,0.9116504854368932,23.948242236642,10.0,281.6285779476166,
HAR,CART,0.0,2,0.9310679611650484,0.0,10.0,0.0,
HAR,RF,0.0,2,0.9679611650485436,0.0,10.0,0.0,
HAR,NST,0.0,2,0.9150485436893204,48.479976654052734,10.0,52.528738021850586,
HAR,NSF,0.0,2,0.9451456310679612,50.95482528300733,10.0,228.8513593673706,
HAR,NST,0.1,2,0.8922330097087379,30.55164909362793,10.0,52.303943157196045,
